bridging_tie_type,#_ties_w_retweets,#_ties_w_o_retweets,#_retweets,%_of_total,retweets/#_ties_w_o_retweets,retweets/#_ties_w_retweets,std
2.0,3433,41566,8239.0,0.0343225881706,0.198214887167,2.39994174192,5.72645396164
3.0,1743,17137,4492.0,0.018713079993,0.262122891988,2.57716580608,4.70344725321
4.0,1137,9390,3618.0,0.0150721111787,0.385303514377,3.18205804749,9.00607212265
5.0,799,5486,2037.0,0.0084858735409,0.371308786001,2.54943679599,3.97548766643
6.0,559,3697,1963.0,0.00817759929347,0.530971057614,3.51162790698,15.6435973071
7.0,400,2516,1164.0,0.0048490705948,0.462639109698,2.91,5.01566545934
8.0,319,1847,1162.0,0.00484073885839,0.629128316188,3.64263322884,10.86642469
9.0,236,1426,793.0,0.00330353348941,0.556100981767,3.36016949153,7.63643851488
10.0,229,1106,1065.0,0.00443664964215,0.962929475588,4.65065502183,10.0492352143
11.0,149,901,617.0,0.0025703406847,0.684794672586,4.14093959732,10.8961049221
12.0,139,722,425.0,0.00177049398865,0.58864265928,3.05755395683,5.83806633033
13.0,103,636,309.0,0.00128725327646,0.485849056604,3.0,4.16410924752
14.0,101,511,341.0,0.00142056105913,0.667318982387,3.37623762376,6.85471794619
15.0,73,432,227.0,0.000945652083351,0.525462962963,3.1095890411,6.39040728832
16.0,69,377,256.0,0.0010664622614,0.679045092838,3.71014492754,9.72387089571
17.0,62,302,232.0,0.000966481424394,0.76821192053,3.74193548387,6.00520065973
18.0,49,275,244.0,0.0010164718429,0.887272727273,4.97959183673,16.6482085767
19.0,51,237,151.0,0.000629046099498,0.637130801688,2.96078431373,3.56431542977
20.0,43,227,389.0,0.00162052273314,1.71365638767,9.04651162791,24.433063272
21.0,42,193,128.0,0.0005332311307,0.663212435233,3.04761904762,3.65117320318
22.0,33,141,145.0,0.000604050890246,1.02836879433,4.39393939394,11.9263888561
23.0,42,142,212.0,0.000883164060222,1.49295774648,5.04761904762,9.74912054874
24.0,28,150,144.0,0.000599885022037,0.96,5.14285714286,8.27092275779
25.0,21,103,72.0,0.000299942511019,0.699029126214,3.42857142857,4.54156914955
26.0,16,91,265.0,0.00110395507528,2.91208791209,16.5625,54.432261516
27.0,18,101,44.0,0.000183298201178,0.435643564356,2.44444444444,2.33861835332
28.0,10,105,44.0,0.000183298201178,0.419047619048,4.4,4.47660585712
29.0,16,93,41.0,0.000170800596552,0.440860215054,2.5625,3.53498143559
30.0,16,70,86.0,0.000358264665939,1.22857142857,5.375,10.5822670066
31.0,10,65,47.0,0.000195795805804,0.723076923077,4.7,4.31393092202
32.0,15,68,55.0,0.000229122751473,0.808823529412,3.66666666667,6.68995930896
33.0,12,45,50.0,0.00020829341043,1.11111111111,4.16666666667,4.59770474138
34.0,10,56,43.0,0.00017913233297,0.767857142857,4.3,3.00166620396
35.0,10,48,37.0,0.000154137123718,0.770833333333,3.7,6.49692234831
37.0,11,50,71.0,0.00029577664281,1.42,6.45454545455,7.38996415742
38.0,10,34,113.0,0.000470743107571,3.32352941176,11.3,28.9242113116
40.0,7,36,40.0,0.000166634728344,1.11111111111,5.71428571429,7.22523920937
42.0,6,29,12.0,4.99904185031e-05,0.413793103448,2.0,1.41421356237
43.0,8,32,13.0,5.41562867117e-05,0.40625,1.625,1.31695671911
44.0,7,18,40.0,0.000166634728344,2.22222222222,5.71428571429,5.00611870512
45.0,7,25,43.0,0.00017913233297,1.72,6.14285714286,6.49018096663
ff_non_recip,27216,771661,58715.0,0.244598951868,0.0760891116695,2.15737066432,7.02627705667
at_non_recip_w1,8255,178764,17175.0,0.0715487864826,0.0960763912197,2.08055723804,4.85820042602
no_tie,33201,0,48210.0,0,0,1.45206469685,5.97337032222
at_recip,3640,18361,9010.0,0.0375344725594,0.490714013398,2.47527472527,5.5382231928
ff_recip,22555,922114,76860.0,0.320188630512,0.0833519499758,3.40767013966,10.9403948738
total,105030,1982007,240046.0,1,0.121112589411,2.28549938113,7.70949070528
