bridging_at_strength,bridging_retweets,bridging_no_retweets,bridging_retweets/no_retweets
1.0,8227.0,182377,0.0451098548611
2.0,4000.0,43040,0.092936802974
3.0,2362.0,17803,0.132674268382
4.0,1280.0,9866,0.129738495844
5.0,1068.0,5799,0.184169684428
6.0,1260.0,3911,0.322168243416
7.0,661.0,2648,0.249622356495
8.0,523.0,1945,0.268894601542
9.0,366.0,1522,0.240473061761
10.0,348.0,1197,0.290726817043
11.0,557.0,928,0.600215517241
12.0,237.0,766,0.309399477807
13.0,199.0,651,0.305683563748
14.0,320.0,552,0.579710144928
15.0,160.0,444,0.36036036036
16.0,130.0,399,0.325814536341
17.0,125.0,318,0.393081761006
18.0,101.0,283,0.356890459364
19.0,253.0,252,1.00396825397
20.0,153.0,232,0.659482758621
21.0,122.0,204,0.598039215686
22.0,50.0,159,0.314465408805
23.0,97.0,163,0.59509202454
24.0,55.0,157,0.350318471338
25.0,18.0,112,0.160714285714
26.0,29.0,97,0.298969072165
27.0,43.0,100,0.43
28.0,76.0,97,0.783505154639
29.0,60.0,93,0.645161290323
30.0,28.0,78,0.358974358974
31.0,82.0,66,1.24242424242
32.0,21.0,76,0.276315789474
33.0,42.0,47,0.893617021277
34.0,8.0,59,0.135593220339
35.0,41.0,49,0.836734693878
36.0,31.0,46,0.673913043478
37.0,16.0,56,0.285714285714
38.0,28.0,36,0.777777777778
39.0,18.0,39,0.461538461538
40.0,29.0,36,0.805555555556
41.0,10.0,41,0.243902439024
42.0,21.0,31,0.677419354839
43.0,19.0,35,0.542857142857
44.0,9.0,23,0.391304347826
45.0,34.0,26,1.30769230769
46.0,7.0,27,0.259259259259
47.0,47.0,14,3.35714285714
48.0,3.0,27,0.111111111111
50.0,2.0,15,0.133333333333
51.0,1.0,16,0.0625
52.0,2.0,17,0.117647058824
53.0,36.0,16,2.25
54.0,17.0,17,1.0
55.0,39.0,13,3.0
56.0,5.0,11,0.454545454545
57.0,7.0,11,0.636363636364
58.0,2.0,12,0.166666666667
59.0,1.0,14,0.0714285714286
60.0,46.0,10,4.6
61.0,23.0,14,1.64285714286
65.0,3.0,6,0.5
68.0,3.0,7,0.428571428571
69.0,1.0,6,0.166666666667
71.0,12.0,4,3.0
72.0,5.0,5,1.0
73.0,6.0,12,0.5
74.0,4.0,8,0.5
76.0,4.0,5,0.8
79.0,1.0,3,0.333333333333
80.0,1.0,5,0.2
82.0,5.0,1,5.0
83.0,12.0,3,4.0
93.0,3.0,5,0.6
95.0,2.0,5,0.4
96.0,2.0,1,2.0
99.0,7.0,1,7.0
119.0,2.0,1,2.0
153.0,3.0,1,3.0
209.0,1.0,1,1.0
