bonding_at_strength,bonding_retweets,bonding_no_retweets,bonding_retweets/no_retweets,average,std
2.0,8358.0,14970,0.558316633267,2.92033542977,5.45209223516
3.0,5829.0,7301,0.798383783043,3.39883381924,6.6724793853
4.0,3513.0,4443,0.790681971641,3.14221824687,6.02413061288
5.0,2660.0,2881,0.923290524124,3.66391184573,9.49437955317
6.0,2167.0,2002,1.08241758242,3.97614678899,7.11410150326
7.0,1548.0,1558,0.993581514763,3.73913043478,8.3170603559
8.0,1411.0,1143,1.23447069116,4.17455621302,12.3413843152
9.0,1092.0,870,1.25517241379,3.62790697674,6.30622894654
10.0,907.0,722,1.25623268698,3.97807017544,8.17862274225
11.0,951.0,582,1.63402061856,4.42325581395,8.71205626034
12.0,748.0,538,1.39033457249,4.3488372093,11.2008797847
13.0,886.0,419,2.11455847255,6.28368794326,18.2703597658
14.0,886.0,354,2.50282485876,6.1958041958,16.4198663322
15.0,407.0,297,1.37037037037,3.91346153846,10.92642402
16.0,267.0,283,0.943462897527,3.06896551724,4.10156433137
17.0,478.0,249,1.91967871486,5.82926829268,15.7455412799
18.0,430.0,205,2.09756097561,4.62365591398,9.01601201507
19.0,295.0,168,1.75595238095,4.53846153846,7.43603890228
20.0,297.0,162,1.83333333333,4.86885245902,7.87499760049
21.0,148.0,158,0.936708860759,2.84615384615,2.97673424168
22.0,692.0,121,5.71900826446,18.2105263158,77.1704053906
23.0,172.0,101,1.70297029703,4.41025641026,6.07102385957
24.0,171.0,110,1.55454545455,3.97674418605,4.81996030136
25.0,134.0,108,1.24074074074,3.82857142857,7.0891696644
26.0,234.0,85,2.75294117647,8.06896551724,11.4407952294
27.0,214.0,71,3.01408450704,9.72727272727,21.7029152172
28.0,123.0,71,1.7323943662,4.73076923077,8.85158696031
29.0,78.0,63,1.2380952381,4.875,3.96665791316
30.0,153.0,70,2.18571428571,5.27586206897,6.2527045278
31.0,44.0,62,0.709677419355,2.58823529412,2.40242092431
32.0,71.0,67,1.05970149254,4.4375,6.57617622559
33.0,171.0,64,2.671875,7.4347826087,7.97728343734
34.0,78.0,32,2.4375,6.5,13.9074320659
35.0,55.0,48,1.14583333333,3.92857142857,4.25045015623
36.0,80.0,34,2.35294117647,4.0,4.87852436706
37.0,59.0,37,1.59459459459,3.47058823529,4.23038931679
38.0,178.0,40,4.45,16.1818181818,35.0656998474
39.0,77.0,27,2.85185185185,11.0,14.599412904
40.0,185.0,24,7.70833333333,15.4166666667,40.3411665947
41.0,185.0,38,4.86842105263,26.4285714286,41.2236310276
42.0,23.0,30,0.766666666667,2.875,2.89125837656
44.0,23.0,16,1.4375,2.3,1.1874342087
45.0,100.0,24,4.16666666667,11.1111111111,24.0298168692
46.0,22.0,25,0.88,3.66666666667,3.59010987142
47.0,44.0,16,2.75,4.0,4.51260859854
49.0,233.0,23,10.1304347826,38.8333333333,75.7439033117
51.0,127.0,15,8.46666666667,12.7,23.3283089829
53.0,12.0,21,0.571428571429,1.5,0.5
54.0,14.0,14,1.0,1.75,1.39194109071
59.0,33.0,17,1.94117647059,5.5,7.25143663927
ff_non_recip,43775.0,161287,0.271410591058,3.1355203782,8.9089883517
at_non_recip_w1,16549.0,44432,0.372456787901,2.75311928132,8.17307406953
no_tie,25641.0,0,0,0,8.48159121793
at_recip,23411.0,20773,1.12699176816,3.52045112782,10.479365465
ff_recip,265869.0,310385,0.856578120721,5.05887165826,14.4477510446
