bridging_at_strength,bridging_retweets,bridging_no_retweets,bridging_retweets/no_retweets,std
2.0,4000.0,43040,0.092936802974,5.0804938623
3.0,2362.0,17803,0.132674268382,10.0410406281
4.0,1280.0,9866,0.129738495844,2.21442503583
5.0,1068.0,5799,0.184169684428,3.16781559308
6.0,1260.0,3911,0.322168243416,23.880636803
7.0,661.0,2648,0.249622356495,4.61126854742
8.0,523.0,1945,0.268894601542,3.54755171276
9.0,366.0,1522,0.240473061761,4.34673229365
10.0,348.0,1197,0.290726817043,3.20148831174
11.0,557.0,928,0.600215517241,10.2908424235
12.0,237.0,766,0.309399477807,2.16612039424
13.0,199.0,651,0.305683563748,2.15582887551
14.0,320.0,552,0.579710144928,18.0929697826
15.0,160.0,444,0.36036036036,3.14754098361
16.0,130.0,399,0.325814536341,2.7921833595
17.0,125.0,318,0.393081761006,3.62756981462
18.0,101.0,283,0.356890459364,2.07302725472
19.0,253.0,252,1.00396825397,20.7692161505
20.0,153.0,232,0.659482758621,7.14690526365
21.0,122.0,204,0.598039215686,4.13432120942
22.0,50.0,159,0.314465408805,2.4404006957
23.0,97.0,163,0.59509202454,6.75754386541
24.0,55.0,157,0.350318471338,1.83811991101
25.0,18.0,112,0.160714285714,0.957427107756
26.0,29.0,97,0.298969072165,3.1448370387
27.0,43.0,100,0.43,2.71142039419
28.0,76.0,97,0.783505154639,5.23402920592
29.0,60.0,93,0.645161290323,3.83242742919
30.0,28.0,78,0.358974358974,1.41421356237
31.0,82.0,66,1.24242424242,16.7162226225
32.0,21.0,76,0.276315789474,3.02371578407
33.0,42.0,47,0.893617021277,5.32541078228
34.0,8.0,59,0.135593220339,0.349927106112
35.0,41.0,49,0.836734693878,5.43877255579
36.0,31.0,46,0.673913043478,5.98377435701
38.0,28.0,36,0.777777777778,2.5
40.0,29.0,36,0.805555555556,3.27014946922
45.0,34.0,26,1.30769230769,3.94405318873
ff_non_recip,5079.0,796421,0.006377280358,16.1725181672
at_non_recip_w1,8227.0,182377,0.0451098548611,5.63105803456
no_tie,123812.0,0,0,5.88063972982
at_recip,9811.0,18027,0.54423919676,4.98835157613
ff_recip,77613.0,922491,0.0841341541543,10.8207767662
