yoga;physical_exercise 
physical_exercise;exertion 
exertion;toil 
toil;work 
work;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
poker;card_game 
card_game;game 
game;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
dance;party 
party;affair 
affair;social_event 
social_event;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
cinema;theater 
theater;edifice 
edifice;structure 
structure;artefact 
artefact;whole 
whole;physical_object 
physical_object;physical_entity 
physical_entity;entity 
poetry;genre 
genre;style 
style;communication 
communication;abstract_entity 
abstract_entity;entity 
history;noesis 
noesis;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
outdoors;exterior 
exterior;part 
part;location 
location;physical_object 
physical_object;physical_entity 
physical_entity;entity 
gardening;agriculture 
agriculture;cultivation 
cultivation;production 
production;manufacture 
manufacture;commercial_enterprise 
commercial_enterprise;commerce 
commerce;dealing 
dealing;group_action 
group_action;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
rapper;vocalizer 
vocalizer;player 
player;performing_artist 
performing_artist;entertainer 
entertainer;soul 
soul;being 
being;animate_thing 
animate_thing;whole 
whole;physical_object 
physical_object;physical_entity 
physical_entity;entity 
anime;natural_resin 
natural_resin;rosin 
rosin;organic_compound 
organic_compound;compound 
compound;chemical 
chemical;material 
material;substance 
substance;matter 
matter;physical_entity 
physical_entity;entity 
college;building_complex 
building_complex;structure 
structure;artefact 
artefact;whole 
whole;physical_object 
physical_object;physical_entity 
physical_entity;entity 
publishing;commercial_enterprise 
commercial_enterprise;commerce 
commerce;dealing 
dealing;group_action 
group_action;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
restaurant;edifice 
edifice;structure 
structure;artefact 
artefact;whole 
whole;physical_object 
physical_object;physical_entity 
physical_entity;entity 
baseball;ball 
ball;game_equipment 
game_equipment;equipment 
equipment;instrumentality 
instrumentality;artefact 
artefact;whole 
whole;physical_object 
physical_object;physical_entity 
physical_entity;entity 
guitar;stringed_instrument 
stringed_instrument;instrument 
instrument;device 
device;instrumentality 
instrumentality;artefact 
artefact;whole 
whole;physical_object 
physical_object;physical_entity 
physical_entity;entity 
theatre;communicating 
communicating;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
beer;brewage 
brewage;alcohol 
alcohol;drinkable 
drinkable;food 
food;substance 
substance;matter 
matter;physical_entity 
physical_entity;entity 
musician;performing_artist 
performing_artist;entertainer 
entertainer;soul 
soul;being 
being;animate_thing 
animate_thing;whole 
whole;physical_object 
physical_object;physical_entity 
physical_entity;entity 
tech;school 
school;educational_institution 
educational_institution;establishment 
establishment;organisation 
organisation;social_group 
social_group;grouping 
grouping;abstract_entity 
abstract_entity;entity 
marketing;commerce 
commerce;dealing 
dealing;group_action 
group_action;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
sport;line 
line;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
fashion;property 
property;attribute 
attribute;abstract_entity 
abstract_entity;entity 
photography;line 
line;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
politics;social_relation 
social_relation;relation 
relation;abstract_entity 
abstract_entity;entity 
news;information 
information;substance 
substance;communication 
communication;abstract_entity 
abstract_entity;entity 
gaming;recreation 
recreation;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
comedy;drama 
drama;genre 
genre;style 
style;communication 
communication;abstract_entity 
abstract_entity;entity 
food;cognitive_content 
cognitive_content;noesis 
noesis;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
advertising;publicity 
publicity;substance 
substance;communication 
communication;abstract_entity 
abstract_entity;entity 
football;field_game 
field_game;outdoor_game 
outdoor_game;athletic_game 
athletic_game;sport 
sport;recreation 
recreation;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
politics;social_relation 
social_relation;relation 
relation;abstract_entity 
abstract_entity;entity 
technology;subject_field 
subject_field;knowledge_base 
knowledge_base;cognitive_content 
cognitive_content;noesis 
noesis;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
recreation;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
medium;substance 
substance;matter 
matter;physical_entity 
physical_entity;entity 
entertainment;recreation 
recreation;activity 
activity;human_activity 
human_activity;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
education;cognitive_content 
cognitive_content;noesis 
noesis;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
fashion;property 
property;attribute 
attribute;abstract_entity 
abstract_entity;entity 
business;people 
people;grouping 
grouping;abstract_entity 
abstract_entity;entity 
travel;movement 
movement;natural_event 
natural_event;event 
event;psychological_feature 
psychological_feature;abstract_entity 
abstract_entity;entity 
health;condition 
condition;state 
state;attribute 
attribute;abstract_entity 
abstract_entity;entity 
